step_id,candidate_id,base_x,base_y,base_z,base_yaw,x,y,z,yaw,dx,dy,dyaw,distance_to_robot,is_valid,is_reachable,collision_risk,collision_penalty,path_cost,path_cost_method,visible_unknown_cells,information_gain,information_gain_method,score,selected_by_classical,failure_reason
1,6,0.14,-2.1994,0.5967,0.0,-0.2427,-1.2755,0.5967,1.9635,-0.3827,0.9239,1.9635,1.0,True,True,False,0.0,1.6257,astar_bev_grid_unknown_penalty,745,745,real_sensor_bev_unknown_visibility,744.6749,False,
1,7,0.14,-2.1994,0.5967,0.0,-0.7839,-1.8167,0.5967,2.7489,-0.9239,0.3827,2.7489,1.0,True,True,False,0.0,1.4243,astar_bev_grid_unknown_penalty,745,745,real_sensor_bev_unknown_visibility,744.7151,True,
1,8,0.14,-2.1994,0.5967,0.0,-1.8925,-3.0413,0.5967,-2.7489,-2.0325,-0.8419,-2.7489,2.2,True,True,False,0.0,3.6528,astar_bev_grid_unknown_penalty,668,668,real_sensor_bev_unknown_visibility,667.2694,False,
1,9,0.14,-2.1994,0.5967,0.0,-0.7019,-4.2319,0.5967,-1.9635,-0.8419,-2.0325,-1.9635,2.2,True,True,False,0.0,3.9128,astar_bev_grid_unknown_penalty,627,627,real_sensor_bev_unknown_visibility,626.2174,False,
1,10,0.14,-2.1994,0.5967,0.0,0.9819,-4.2319,0.5967,-1.1781,0.8419,-2.0325,-1.1781,2.2,True,True,False,0.0,3.8714,astar_bev_grid_unknown_penalty,632,632,real_sensor_bev_unknown_visibility,631.2257,False,
1,11,0.14,-2.1994,0.5967,0.0,2.1725,-3.0413,0.5967,-0.3927,2.0325,-0.8419,-0.3927,2.2,True,True,False,0.0,3.0928,astar_bev_grid_unknown_penalty,589,589,real_sensor_bev_unknown_visibility,588.3814,False,
1,12,0.14,-2.1994,0.5967,0.0,2.1725,-1.3575,0.5967,0.3927,2.0325,0.8419,0.3927,2.2,False,False,True,90.0,,astar_bev_grid_unknown_penalty,0,0,real_sensor_bev_unknown_visibility,-489.8,False,occupied_cell;collision_margin_occupied;astar_unreachable
1,13,0.14,-2.1994,0.5967,0.0,0.9819,-0.1669,0.5967,1.1781,0.8419,2.0325,1.1781,2.2,True,True,False,0.0,3.7714,astar_bev_grid_unknown_penalty,632,632,real_sensor_bev_unknown_visibility,631.2457,False,
1,14,0.14,-2.1994,0.5967,0.0,-0.7019,-0.1669,0.5967,1.9635,-0.8419,2.0325,1.9635,2.2,True,True,False,0.0,3.8128,astar_bev_grid_unknown_penalty,627,627,real_sensor_bev_unknown_visibility,626.2374,False,
1,15,0.14,-2.1994,0.5967,0.0,-1.8925,-1.3575,0.5967,2.7489,-2.0325,0.8419,2.7489,2.2,True,True,False,0.0,3.6114,astar_bev_grid_unknown_penalty,668,668,real_sensor_bev_unknown_visibility,667.2777,False,
1,16,0.14,-2.1994,0.5967,0.0,-3.186,-3.5771,0.5967,-2.7489,-3.326,-1.3777,-2.7489,3.6,True,True,False,0.0,6.1999,astar_bev_grid_unknown_penalty,263,263,real_sensor_bev_unknown_visibility,261.76,False,
1,17,0.14,-2.1994,0.5967,0.0,-1.2377,-5.5254,0.5967,-1.9635,-1.3777,-3.326,-1.9635,3.6,True,True,False,0.0,6.4599,astar_bev_grid_unknown_penalty,219,219,real_sensor_bev_unknown_visibility,217.708,False,
1,18,0.14,-2.1994,0.5967,0.0,1.5177,-5.5254,0.5967,-1.1781,1.3777,-3.326,-1.1781,3.6,True,True,False,0.0,6.4599,astar_bev_grid_unknown_penalty,218,218,real_sensor_bev_unknown_visibility,216.708,False,
1,19,0.14,-2.1994,0.5967,0.0,3.466,-3.5771,0.5967,-0.3927,3.326,-1.3777,-0.3927,3.6,True,True,False,0.0,5.6399,astar_bev_grid_unknown_penalty,171,171,real_sensor_bev_unknown_visibility,169.872,False,
1,20,0.14,-2.1994,0.5967,0.0,3.466,-0.8218,0.5967,0.3927,3.326,1.3777,0.3927,3.6,True,True,False,0.0,4.6413,astar_bev_grid_unknown_penalty,64,64,real_sensor_bev_unknown_visibility,63.0717,False,
1,21,0.14,-2.1994,0.5967,0.0,1.5177,1.1266,0.5967,1.1781,1.3777,3.326,1.1781,3.6,True,True,False,0.0,6.3328,astar_bev_grid_unknown_penalty,218,218,real_sensor_bev_unknown_visibility,216.7334,False,
1,22,0.14,-2.1994,0.5967,0.0,-1.2377,1.1266,0.5967,1.9635,-1.3777,3.326,1.9635,3.6,True,True,False,0.0,6.3599,astar_bev_grid_unknown_penalty,219,219,real_sensor_bev_unknown_visibility,217.728,False,
1,23,0.14,-2.1994,0.5967,0.0,-3.186,-0.8218,0.5967,2.7489,-3.326,1.3777,2.7489,3.6,True,True,False,0.0,6.1585,astar_bev_grid_unknown_penalty,263,263,real_sensor_bev_unknown_visibility,261.7683,False,
2,0,0.2191,-2.1883,0.5967,0.1396,-0.6425,-2.6958,0.5967,-2.6093,-0.8616,-0.5075,-2.7489,1.0,True,True,False,0.0,1.4271,astar_bev_grid_unknown_penalty,742,742,real_sensor_bev_unknown_visibility,741.7146,False,
2,1,0.2191,-2.1883,0.5967,0.1396,-0.0312,-3.1564,0.5967,-1.8239,-0.2504,-0.9681,-1.9635,1.0,True,True,False,0.0,1.6843,astar_bev_grid_unknown_penalty,747,747,real_sensor_bev_unknown_visibility,746.6631,True,
2,2,0.2191,-2.1883,0.5967,0.1396,0.7267,-3.0499,0.5967,-1.0385,0.5075,-0.8616,-1.1781,1.0,True,True,False,0.0,1.5871,astar_bev_grid_unknown_penalty,742,742,real_sensor_bev_unknown_visibility,741.6826,False,
2,3,0.2191,-2.1883,0.5967,0.1396,1.1873,-2.4387,0.5967,-0.2531,0.9681,-0.2504,-0.3927,1.0,False,True,True,6.0,1.1043,astar_bev_grid_unknown_penalty,0,0,real_sensor_bev_unknown_visibility,-206.2209,False,collision_margin_occupied
2,4,0.2191,-2.1883,0.5967,0.1396,1.0808,-1.6807,0.5967,0.5323,0.8616,0.5075,0.3927,1.0,False,True,True,6.0,1.0071,astar_bev_grid_unknown_penalty,0,0,real_sensor_bev_unknown_visibility,-206.2014,False,collision_margin_occupied
2,5,0.2191,-2.1883,0.5967,0.1396,0.4695,-1.2201,0.5967,1.3177,0.2504,0.9681,1.1781,1.0,True,True,False,0.0,1.4628,astar_bev_grid_unknown_penalty,745,745,real_sensor_bev_unknown_visibility,744.7074,False,
2,6,0.2191,-2.1883,0.5967,0.1396,-0.2884,-1.3267,0.5967,2.1031,-0.5075,0.8616,1.9635,1.0,True,True,False,0.0,1.4071,astar_bev_grid_unknown_penalty,746,746,real_sensor_bev_unknown_visibility,745.7186,False,
2,7,0.2191,-2.1883,0.5967,0.1396,-0.749,-1.9379,0.5967,2.8885,-0.9681,0.2504,2.7489,1.0,True,True,False,0.0,1.4828,astar_bev_grid_unknown_penalty,743,743,real_sensor_bev_unknown_visibility,742.7034,False,
2,8,0.2191,-2.1883,0.5967,0.1396,-1.6764,-3.3049,0.5967,-2.6093,-1.8956,-1.1166,-2.7489,2.2,True,True,False,0.0,3.5171,astar_bev_grid_unknown_penalty,721,721,real_sensor_bev_unknown_visibility,720.2966,False,
2,9,0.2191,-2.1883,0.5967,0.1396,-0.3317,-4.3182,0.5967,-1.8239,-0.5508,-2.1299,-1.9635,2.2,True,True,False,0.0,3.9685,astar_bev_grid_unknown_penalty,592,592,real_sensor_bev_unknown_visibility,591.2063,False,
2,10,0.2191,-2.1883,0.5967,0.1396,1.3357,-4.0839,0.5967,-1.0385,1.1166,-1.8956,-1.1781,2.2,True,True,False,0.0,3.6356,astar_bev_grid_unknown_penalty,678,678,real_sensor_bev_unknown_visibility,677.2729,False,
2,11,0.2191,-2.1883,0.5967,0.1396,2.3491,-2.7391,0.5967,-0.2531,2.1299,-0.5508,-0.3927,2.2,True,True,False,0.0,3.2285,astar_bev_grid_unknown_penalty,513,513,real_sensor_bev_unknown_visibility,512.3543,False,
2,12,0.2191,-2.1883,0.5967,0.1396,2.1147,-1.0717,0.5967,0.5323,1.8956,1.1166,0.3927,2.2,False,False,True,88.0,,astar_bev_grid_unknown_penalty,0,0,real_sensor_bev_unknown_visibility,-487.8,False,occupied_cell;collision_margin_occupied;astar_unreachable
2,13,0.2191,-2.1883,0.5967,0.1396,0.77,-0.0584,0.5967,1.3177,0.5508,2.1299,1.1781,2.2,True,True,False,0.0,3.7471,astar_bev_grid_unknown_penalty,588,588,real_sensor_bev_unknown_visibility,587.2506,False,
2,14,0.2191,-2.1883,0.5967,0.1396,-0.8974,-0.2927,0.5967,2.1031,-1.1166,1.8956,1.9635,2.2,True,True,False,0.0,3.6356,astar_bev_grid_unknown_penalty,673,673,real_sensor_bev_unknown_visibility,672.2729,False,
2,15,0.2191,-2.1883,0.5967,0.1396,-1.9108,-1.6375,0.5967,2.8885,-2.1299,0.5508,2.7489,2.2,True,True,False,0.0,3.7671,astar_bev_grid_unknown_penalty,662,662,real_sensor_bev_unknown_visibility,661.2466,False,
2,16,0.2191,-2.1883,0.5967,0.1396,-2.8827,-4.0154,0.5967,-2.6093,-3.1019,-1.8271,-2.7489,3.6,True,True,False,0.0,5.967,astar_bev_grid_unknown_penalty,394,394,real_sensor_bev_unknown_visibility,392.8066,False,
2,17,0.2191,-2.1883,0.5967,0.1396,-0.6822,-5.6736,0.5967,-1.8239,-0.9014,-3.4853,-1.9635,3.6,True,True,False,0.0,6.4328,astar_bev_grid_unknown_penalty,133,133,real_sensor_bev_unknown_visibility,131.7134,False,
2,18,0.2191,-2.1883,0.5967,0.1396,2.0463,-5.2902,0.5967,-1.0385,1.8271,-3.1019,-1.1781,3.6,True,True,False,0.0,6.0856,astar_bev_grid_unknown_penalty,311,311,real_sensor_bev_unknown_visibility,309.7829,False,
2,19,0.2191,-2.1883,0.5967,0.1396,3.7045,-3.0897,0.5967,-0.2531,3.4853,-0.9014,-0.3927,3.6,True,True,False,0.0,5.8728,astar_bev_grid_unknown_penalty,79,79,real_sensor_bev_unknown_visibility,77.8254,False,
2,20,0.2191,-2.1883,0.5967,0.1396,3.321,-0.3611,0.5967,0.5323,3.1019,1.8271,0.3927,3.6,True,True,False,0.0,4.6456,astar_bev_grid_unknown_penalty,4,4,real_sensor_bev_unknown_visibility,3.0709,False,
2,21,0.2191,-2.1883,0.5967,0.1396,1.1205,1.297,0.5967,1.3177,0.9014,3.4853,1.1781,3.6,True,True,False,0.0,6.1885,astar_bev_grid_unknown_penalty,125,125,real_sensor_bev_unknown_visibility,123.7623,False,
2,22,0.2191,-2.1883,0.5967,0.1396,-1.608,0.9136,0.5967,2.1031,-1.8271,3.1019,1.9635,3.6,True,True,False,0.0,6.127,astar_bev_grid_unknown_penalty,335,335,real_sensor_bev_unknown_visibility,333.7746,False,
2,23,0.2191,-2.1883,0.5967,0.1396,-3.2662,-1.2869,0.5967,2.8885,-3.4853,0.9014,2.7489,3.6,True,True,False,0.0,6.2728,astar_bev_grid_unknown_penalty,192,192,real_sensor_bev_unknown_visibility,190.7454,False,
3,0,0.3578,-2.1688,0.5967,0.1396,-0.5039,-2.6763,0.5967,-2.6093,-0.8616,-0.5075,-2.7489,1.0,True,True,False,0.0,1.3471,astar_bev_grid_unknown_penalty,746,746,real_sensor_bev_unknown_visibility,745.7306,False,
3,1,0.3578,-2.1688,0.5967,0.1396,0.1074,-3.1369,0.5967,-1.8239,-0.2504,-0.9681,-1.9635,1.0,True,True,False,0.0,1.6428,astar_bev_grid_unknown_penalty,744,744,real_sensor_bev_unknown_visibility,743.6714,False,
3,2,0.3578,-2.1688,0.5967,0.1396,0.8653,-3.0304,0.5967,-1.0385,0.5075,-0.8616,-1.1781,1.0,True,True,False,0.0,1.5871,astar_bev_grid_unknown_penalty,746,746,real_sensor_bev_unknown_visibility,745.6826,False,
3,3,0.3578,-2.1688,0.5967,0.1396,1.3259,-2.4192,0.5967,-0.2531,0.9681,-0.2504,-0.3927,1.0,False,True,True,18.0,1.2043,astar_bev_grid_unknown_penalty,0,0,real_sensor_bev_unknown_visibility,-218.2409,False,collision_margin_occupied
3,4,0.3578,-2.1688,0.5967,0.1396,1.2194,-1.6613,0.5967,0.5323,0.8616,0.5075,0.3927,1.0,False,True,True,26.0,1.1071,astar_bev_grid_unknown_penalty,0,0,real_sensor_bev_unknown_visibility,-226.2214,False,collision_margin_occupied
3,5,0.3578,-2.1688,0.5967,0.1396,0.6082,-1.2007,0.5967,1.3177,0.2504,0.9681,1.1781,1.0,True,True,False,0.0,1.5043,astar_bev_grid_unknown_penalty,745,745,real_sensor_bev_unknown_visibility,744.6991,False,
3,6,0.3578,-2.1688,0.5967,0.1396,-0.1498,-1.3072,0.5967,2.1031,-0.5075,0.8616,1.9635,1.0,True,True,False,0.0,1.4071,astar_bev_grid_unknown_penalty,748,748,real_sensor_bev_unknown_visibility,747.7186,True,
3,7,0.3578,-2.1688,0.5967,0.1396,-0.6104,-1.9184,0.5967,2.8885,-0.9681,0.2504,2.7489,1.0,True,True,False,0.0,1.4028,astar_bev_grid_unknown_penalty,744,744,real_sensor_bev_unknown_visibility,743.7194,False,
3,8,0.3578,-2.1688,0.5967,0.1396,-1.5378,-3.2854,0.5967,-2.6093,-1.8956,-1.1166,-2.7489,2.2,True,True,False,0.0,3.3956,astar_bev_grid_unknown_penalty,743,743,real_sensor_bev_unknown_visibility,742.3209,False,
3,9,0.3578,-2.1688,0.5967,0.1396,-0.1931,-4.2987,0.5967,-1.8239,-0.5508,-2.1299,-1.9635,2.2,True,True,False,0.0,3.7471,astar_bev_grid_unknown_penalty,601,601,real_sensor_bev_unknown_visibility,600.2506,False,
3,10,0.3578,-2.1688,0.5967,0.1396,1.4744,-4.0644,0.5967,-1.0385,1.1166,-1.8956,-1.1781,2.2,True,True,False,0.0,3.6356,astar_bev_grid_unknown_penalty,682,682,real_sensor_bev_unknown_visibility,681.2729,False,
3,11,0.3578,-2.1688,0.5967,0.1396,2.4877,-2.7196,0.5967,-0.2531,2.1299,-0.5508,-0.3927,2.2,True,True,False,0.0,3.3085,astar_bev_grid_unknown_penalty,464,464,real_sensor_bev_unknown_visibility,463.3383,False,
3,12,0.3578,-2.1688,0.5967,0.1396,2.2534,-1.0522,0.5967,0.5323,1.8956,1.1166,0.3927,2.2,False,True,True,32.0,3.7242,astar_bev_grid_unknown_penalty,0,0,real_sensor_bev_unknown_visibility,-232.7448,False,collision_margin_occupied
3,13,0.3578,-2.1688,0.5967,0.1396,0.9086,-0.0389,0.5967,1.3177,0.5508,2.1299,1.1781,2.2,True,True,False,0.0,3.7885,astar_bev_grid_unknown_penalty,579,579,real_sensor_bev_unknown_visibility,578.2423,False,
3,14,0.3578,-2.1688,0.5967,0.1396,-0.7588,-0.2732,0.5967,2.1031,-1.1166,1.8956,1.9635,2.2,True,True,False,0.0,3.6356,astar_bev_grid_unknown_penalty,670,670,real_sensor_bev_unknown_visibility,669.2729,False,
3,15,0.3578,-2.1688,0.5967,0.1396,-1.7721,-1.618,0.5967,2.8885,-2.1299,0.5508,2.7489,2.2,True,True,False,0.0,3.5071,astar_bev_grid_unknown_penalty,698,698,real_sensor_bev_unknown_visibility,697.2986,False,
